bailable,energia,volumen,hablado,acustico,instrumental,directo,valencia,popularidad,clave,modo,tempo,genero
0.676,0.202,-12.967,0.196,0.944,0.886,0.104,0.751,56,11,1,75.109,0
0.755,0.338,-8.574,0.246,0.792,0.906,0.12,0.43,47,10,0,91.045,0
0.756,0.291,-13.78,0.169,0.866,0.895,0.116,0.335,47,2,1,75.156,0
0.679,0.45,-10.428,0.16,0.748,0.0589,0.101,0.364,48,0,1,80.075,0
0.416,0.423,-15.069,0.248,0.97,0.928,0.206,0.41,47,9,0,76.372,0
0.618,0.211,-16.41,0.208,0.876,0.849,0.0887,0.142,53,9,1,83.982,0
0.78,0.327,-8.763,0.136,0.915,0.689,0.112,0.388,49,10,1,82.027,0
0.799,0.0375,-15.162,0.456,0.891,0.928,0.102,0.615,47,11,1,78.132,0
0.809,0.287,-8.89,0.0595,0.476,0.839,0.119,0.651,48,5,0,84.0,0
0.738,0.207,-13.185,0.273,0.537,0.934,0.112,0.661,49,11,0,80.051,0
0.644,0.318,-14.637,0.0973,0.786,0.935,0.128,0.297,48,7,1,89.31,0
0.694,0.124,-18.156,0.0493,0.594,0.917,0.111,0.856,48,10,0,152.098,0
0.555,0.246,-13.867,0.0539,0.793,0.941,0.117,0.364,47,6,1,84.942,0
0.564,0.265,-12.867,0.0673,0.883,0.916,0.121,0.344,47,11,1,83.298,0
0.667,0.209,-13.383,0.0501,0.922,0.932,0.124,0.664,53,10,0,148.152,0
0.644,0.258,-20.552,0.0534,0.589,0.946,0.0807,0.207,49,7,0,166.356,0
0.717,0.103,-10.601,0.0925,0.587,0.803,0.111,0.39,47,11,0,88.989,0
0.796,0.105,-13.837,0.0761,0.248,0.817,0.108,0.922,54,11,0,160.293,0
0.582,0.223,-11.915,0.0688,0.766,0.954,0.0658,0.0392,49,1,0,80.093,0
0.872,0.207,-14.776,0.425,0.808,0.961,0.114,0.961,49,10,0,77.048,0
0.604,0.291,-13.967,0.392,0.798,0.889,0.144,0.111,47,0,1,78.066,0
0.527,0.187,-11.717,0.307,0.893,0.919,0.1,0.805,47,9,1,170.397,0
0.42,0.0881,-12.717,0.293,0.844,0.214,0.151,0.636,47,4,1,211.644,0
0.589,0.194,-13.551,0.0974,0.972,0.873,0.0841,0.474,47,5,1,82.123,0
0.723,0.111,-15.101,0.143,0.902,0.857,0.104,0.733,46,0,0,78.986,0
0.683,0.103,-12.762,0.0567,0.9,0.308,0.076,0.197,47,9,0,79.99,0
0.826,0.391,-10.978,0.498,0.969,0.025,0.114,0.813,50,0,1,79.139,0
0.816,0.216,-13.551,0.652,0.456,0.0901,0.151,0.972,47,0,1,75.972,0
0.596,0.149,-16.955,0.0543,0.955,0.688,0.0868,0.165,47,9,0,98.793,0
0.914,0.245,-9.504,0.411,0.303,0.482,0.107,0.648,47,4,0,87.992,0
0.728,0.318,-12.446,0.0776,0.182,0.951,0.115,0.909,46,6,1,89.748,0
0.665,0.0924,-12.477,0.0612,0.752,0.925,0.113,0.679,47,1,0,77.094,0
0.701,0.289,-8.422,0.156,0.609,0.826,0.109,0.779,54,8,1,79.986,0
0.422,0.394,-7.814,0.0744,0.9,0.954,0.104,0.846,46,1,0,131.103,0
0.684,0.361,-7.132,0.15,0.878,0.957,0.108,0.284,47,11,0,85.086,0
0.741,0.0753,-12.26,0.166,0.243,0.868,0.105,0.308,53,4,0,148.072,0
0.561,0.0644,-13.783,0.481,0.197,0.884,0.0932,0.96,54,7,0,130.583,0
0.807,0.265,-7.969,0.279,0.0402,0.93,0.0866,0.617,47,0,0,160.369,0
0.727,0.0874,-19.549,0.074,0.934,0.935,0.101,0.526,52,0,1,80.966,0
0.696,0.759,-8.851,0.158,0.0862,0.00062,0.141,0.895,53,0,1,120.034,0
0.862,0.619,-6.645,0.318,0.0434,0.0,0.117,0.512,67,6,0,95.036,0
0.613,0.48,-10.079,0.186,0.563,0.0,0.104,0.212,61,9,1,184.006,0
0.662,0.716,-7.047,0.0379,0.0107,0.0,0.149,0.385,55,11,1,96.01,0
0.852,0.625,-4.747,0.242,0.39,5.1e-05,0.109,0.641,49,9,0,140.003,0
0.805,0.916,-6.168,0.118,0.228,0.000321,0.106,0.623,43,2,1,140.009,0
0.634,0.884,-6.259,0.334,0.0994,0.0,0.266,0.39,58,6,1,103.973,0
0.663,0.69,-4.871,0.266,0.42,0.0,0.11,0.715,57,11,0,129.832,0
0.656,0.562,-10.657,0.529,0.322,0.0,0.2,0.609,47,11,1,85.37,0
0.551,0.697,-6.411,0.308,0.231,0.0,0.253,0.81,47,8,0,89.161,0
0.789,0.726,-8.811,0.208,0.216,0.0,0.343,0.783,55,5,0,86.701,0
0.782,0.893,-5.861,0.223,0.0605,0.0,0.216,0.618,46,1,1,148.006,0
0.807,0.674,-6.94,0.119,0.0174,6.35e-06,0.061,0.788,58,1,1,94.984,0
0.521,0.9,-6.358,0.0623,0.0187,0.0,0.164,0.416,46,3,1,140.044,0
0.787,0.656,-10.065,0.39,0.357,7.72e-06,0.369,0.444,44,11,0,114.891,0
0.865,0.875,-7.802,0.236,0.386,0.0,0.222,0.393,46,0,1,105.012,0
0.751,0.598,-9.836,0.199,0.481,0.0,0.077,0.73,39,10,0,85.934,0
0.74,0.721,-6.323,0.177,0.762,0.0,0.0922,0.331,44,1,1,119.956,0
0.483,0.801,-6.181,0.471,0.323,0.0,0.179,0.587,40,1,1,81.884,0
0.913,0.763,-5.219,0.222,0.142,0.0,0.115,0.313,42,6,0,140.029,0
0.772,0.664,-7.664,0.321,0.639,2.7e-06,0.11,0.389,46,1,0,96.204,0
