bailable,energia,valencia,acustico,instrumental,popularidad,tempo,genero
0.637,0.878,0.742,0.0775,0.0227,69,139.053,0
0.718,0.963,0.361,0.0352,0.00681,53,129.989,0
0.794,0.745,0.706,0.271,0.00041,67,124.249,0
0.617,0.833,0.43,0.0919,0.0,43,109.995,0
0.476,0.684,0.448,0.049,0.0,52,154.85,0
0.434,0.843,0.451,0.0609,0.0,34,150.129,0
0.66,0.546,0.203,0.012,2.84e-06,31,139.935,0
0.845,0.552,0.705,0.0514,0.0,32,120.017,0
0.789,0.683,0.411,0.0612,0.000399,36,97.113,0
0.495,0.33,0.572,0.391,0.000157,21,140.061,0
0.731,0.661,0.397,0.228,0.00521,41,113.028,0
0.692,0.726,0.437,0.0204,0.0,39,99.982,0
0.622,0.831,0.443,0.0183,1.39e-06,40,114.015,0
0.589,0.592,0.348,0.00598,0.0,31,141.131,0
0.426,0.634,0.161,0.0162,0.0,38,173.736,0
0.544,0.674,0.469,0.0763,0.0,39,128.014,0
0.637,0.759,0.304,0.0244,0.0,53,98.035,0
0.685,0.633,0.355,0.0816,3.11e-05,27,124.025,0
0.537,0.762,0.429,0.00101,2.45e-06,30,129.993,0
0.528,0.686,0.53,0.115,0.0,40,150.112,0
0.338,0.598,0.388,0.104,0.0,54,84.011,0
0.545,0.889,0.429,0.00377,2.99e-05,52,144.039,0
0.582,0.791,0.34,0.186,0.0,33,91.975,0
0.661,0.777,0.265,0.00806,4.96e-05,35,105.03,0
0.643,0.874,0.789,0.236,1.35e-05,28,142.017,0
0.399,0.762,0.403,0.0345,7.41e-05,39,177.774,0
0.48,0.962,0.658,0.00593,3.44e-06,33,100.037,0
0.547,0.656,0.343,0.134,0.000109,43,140.039,0
0.664,0.855,0.868,0.0574,0.0,37,94.981,0
0.772,0.837,0.52,0.102,9.41e-06,35,100.005,0
0.206,0.733,0.439,0.485,0.0,31,74.744,0
0.494,0.892,0.369,0.0318,0.0,33,127.898,0
0.722,0.635,0.364,0.0543,0.000368,27,107.013,0
0.676,0.709,0.312,0.00217,0.0,37,119.951,0
0.718,0.798,0.424,0.00385,0.002,30,110.002,0
0.68,0.809,0.884,0.0233,0.0,43,149.935,0
0.557,0.784,0.641,0.000241,2.62e-05,38,122.925,0
0.64,0.877,0.681,0.21,1.41e-06,38,131.02,0
0.656,0.7,0.293,0.249,0.0,43,100.01,0
0.225,0.501,0.111,0.112,0.0,50,143.912,0
0.664,0.833,0.338,0.00212,2.18e-06,44,124.072,0
0.595,0.75,0.143,0.0148,0.000685,25,127.955,0
0.668,0.632,0.156,0.0523,9.37e-05,46,106.017,0
0.601,0.693,0.526,0.0973,3.17e-06,25,120.006,0
0.792,0.584,0.856,0.133,0.0,33,99.044,0
0.634,0.866,0.482,0.253,0.0,39,106.012,0
0.694,0.594,0.499,0.322,1.25e-06,27,139.946,0
0.454,0.703,0.676,0.00211,0.0317,29,100.037,0
0.71,0.743,0.479,0.00943,0.0,33,131.084,0
0.733,0.736,0.901,0.119,0.0,36,107.96,0
0.591,0.792,0.234,0.00069,0.00967,29,117.99,0
0.645,0.578,0.536,0.0171,0.0,38,97.95,0
0.573,0.616,0.228,0.129,1.38e-06,38,131.979,0
0.529,0.65,0.505,0.0425,0.0,20,147.893,0
0.67,0.703,0.422,0.0871,1.91e-05,40,123.975,0
0.563,0.783,0.281,0.193,0.0,31,124.023,0
0.684,0.826,0.342,0.0664,5.49e-06,38,125.999,0
0.645,0.74,0.338,0.0572,6.91e-05,32,107.017,0
0.681,0.881,0.396,0.00595,5.24e-06,21,109.989,0
0.699,0.803,0.409,0.0657,1.02e-05,21,106.025,0
0.806,0.787,0.392,0.00962,4.69e-05,33,128.067,0
0.795,0.629,0.573,0.0531,0.0,19,109.897,0
0.704,0.758,0.414,0.105,0.0,33,108.98,0
0.602,0.72,0.197,0.373,0.0,39,145.009,0
0.594,0.592,0.358,0.0871,1.85e-06,29,170.12,0
0.538,0.869,0.381,0.0181,0.0,42,160.089,0
0.638,0.81,0.216,0.0587,3.68e-06,33,100.005,0
0.568,0.651,0.175,0.205,1.01e-06,32,82.318,0
0.694,0.546,0.244,0.0962,3.94e-06,24,104.978,0
0.673,0.767,0.727,0.0558,0.0,32,100.064,0
0.339,0.775,0.261,0.069,0.0,31,165.474,0
0.486,0.759,0.31,0.00831,2.31e-06,19,159.982,0
0.31,0.832,0.233,0.197,0.0,41,74.824,0
0.675,0.837,0.721,0.211,0.0,34,141.986,0
0.77,0.796,0.308,0.151,0.0,30,101.985,0
0.588,0.665,0.367,0.108,0.0,20,140.024,0
0.76,0.459,0.188,0.0828,0.0,24,104.964,0
0.6,0.634,0.214,0.336,0.0,28,105.023,0
0.798,0.57,0.177,0.0146,0.00255,18,107.048,0
0.769,0.862,0.458,0.0599,2.2e-05,41,121.982,0
0.707,0.856,0.51,0.142,0.0,60,126.914,0
0.638,0.949,0.552,0.073,0.392,13,124.938,0
0.611,0.833,0.261,0.000506,0.92,54,122.978,0
0.67,0.81,0.323,0.00164,0.0257,55,123.992,0
0.619,0.875,0.245,0.0124,0.0099,41,123.997,0
0.632,0.574,0.557,0.0942,0.0,51,125.989,0
0.636,0.806,0.205,0.15,0.0,56,128.024,0
0.725,0.85,0.542,0.00273,0.0396,14,122.001,0
0.651,0.806,0.21,0.0235,0.256,58,121.054,0
0.728,0.835,0.72,0.019,0.000696,40,123.004,0
0.726,0.437,0.223,0.349,0.00215,40,114.013,0
0.538,0.775,0.397,0.00363,0.0,25,80.059,0
0.728,0.675,0.476,0.107,0.00372,44,117.969,0
0.667,0.824,0.59,0.0668,4.91e-06,61,117.019,0
0.701,0.911,0.461,0.0496,1.79e-06,45,126.038,0
0.866,0.684,0.774,0.0033,0.00429,31,122.973,0
0.777,0.74,0.288,0.00192,0.0828,45,123.008,0
0.687,0.711,0.0705,0.258,0.00673,48,120.018,0
0.693,0.805,0.0461,0.00799,0.854,20,123.991,0
0.522,0.524,0.145,0.435,0.211,54,115.077,0
0.678,0.828,0.244,0.0373,0.114,15,123.978,0
0.606,0.621,0.516,0.000485,0.0691,36,123.945,0
0.817,0.943,0.153,0.653,0.882,39,124.932,0
0.631,0.951,0.703,0.108,0.836,55,124.007,0
0.674,0.919,0.89,0.00161,0.491,26,110.0,0
